identifier,title,date,year,service_code,service,speaker,book,passage,chapter,verses,audio_mp3,audio_ogg,details_url,size_bytes
2018.09.23.ETitus2.14aJackWerth,2018.09.23.E Titus 2.14a - Jack Werth,2018-09-23,2018,E,Evening Service,Jack Werth,Titus,Titus 2:14a,2,14a,https://archive.org/download/2018.09.23.ETitus2.14aJackWerth/2018.09.23.E%20Titus%202.14a%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.09.23.ETitus2.14aJackWerth/2018.09.23.E%20Titus%202.14a%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.09.23.ETitus2.14aJackWerth,58845125
2018.09.23.MLuke1.1825JackWerth,2018.09.23.M Luke 1.18-25 - Jack Werth,2018-09-23,2018,M,Morning Service,Jack Werth,Luke,Luke 1:18-25,1,18-25,https://archive.org/download/2018.09.23.MLuke1.1825JackWerth/2018.09.23.M%20Luke%201.18-25%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.09.23.MLuke1.1825JackWerth/2018.09.23.M%20Luke%201.18-25%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.09.23.MLuke1.1825JackWerth,59352156
2018.09.23.XJonah3.13aJackWerth,2018.09.23.X Jonah 3.1-3a - Jack Werth,2018-09-23,2018,X,Bible Study,Jack Werth,Jonah,Jonah 3:1-3a,3,1-3a,https://archive.org/download/2018.09.23.XJonah3.13aJackWerth/2018.09.23.X%20Jonah%203.1-3a%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.09.23.XJonah3.13aJackWerth/2018.09.23.X%20Jonah%203.1-3a%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.09.23.XJonah3.13aJackWerth,63008787
2018.10.07.ETitus2.14bJackWerth,2018.10.07.E Titus 2.14b - Jack Werth,2018-10-07,2018,E,Evening Service,Jack Werth,Titus,Titus 2:14b,2,14b,https://archive.org/download/2018.10.07.ETitus2.14bJackWerth/2018.10.07.E%20Titus%202.14b%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.10.07.ETitus2.14bJackWerth/2018.10.07.E%20Titus%202.14b%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.10.07.ETitus2.14bJackWerth,59092067
2018.10.07.MLuke1.2633JackWerth,2018.10.07.M - Luke 1.26-33 Jack Werth,2018-10-07,2018,M,Morning Service,Jack Werth,Luke,Luke 1:26-33,1,26-33,https://archive.org/download/2018.10.07.MLuke1.2633JackWerth/2018.10.07.M%20-%20Luke%201.26-33%20Jack%20Werth.mp3,https://archive.org/download/2018.10.07.MLuke1.2633JackWerth/2018.10.07.M%20-%20Luke%201.26-33%20Jack%20Werth.ogg,https://archive.org/details/2018.10.07.MLuke1.2633JackWerth,63227056
2018.10.07.XJonah3.35JackWerth,2018.10.07.X Jonah 3.3-5 - Jack Werth,2018-10-07,2018,X,Bible Study,Jack Werth,Jonah,Jonah 3:3-5,3,3-5,https://archive.org/download/2018.10.07.XJonah3.35JackWerth/2018.10.07.X%20Jonah%203.3-5%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.10.07.XJonah3.35JackWerth/2018.10.07.X%20Jonah%203.3-5%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.10.07.XJonah3.35JackWerth,64870976
2018.10.14.ETitus2.15JackWerth,2018.10.14.E Titus 2.15 - Jack Werth,2018-10-14,2018,E,Evening Service,Jack Werth,Titus,Titus 2:15,2,15,https://archive.org/download/2018.10.14.ETitus2.15JackWerth/2018.10.14.E%20Titus%202.15%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.10.14.ETitus2.15JackWerth/2018.10.14.E%20Titus%202.15%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.10.14.ETitus2.15JackWerth,75019507
2018.10.14.MLuke1.3438JackWerth,2018.10.14.M Luke 1.34-38 - Jack Werth,2018-10-14,2018,M,Morning Service,Jack Werth,Luke,Luke 1:34-38,1,34-38,https://archive.org/download/2018.10.14.MLuke1.3438JackWerth/2018.10.14.M%20Luke%201.34-38%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.10.14.MLuke1.3438JackWerth/2018.10.14.M%20Luke%201.34-38%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.10.14.MLuke1.3438JackWerth,49638103
2018.10.14.XJonah3.57JackWerth,2018.10.14.X Jonah 3.5-7 - Jack Werth,2018-10-14,2018,X,Bible Study,Jack Werth,Jonah,Jonah 3:5-7,3,5-7,https://archive.org/download/2018.10.14.XJonah3.57JackWerth/2018.10.14.X%20Jonah%203.5-7%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.10.14.XJonah3.57JackWerth/2018.10.14.X%20Jonah%203.5-7%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.10.14.XJonah3.57JackWerth,65551397
2018.10.21.ETitus2.15JackWerth,2018.10.21.E Titus 2.15 - Jack Werth,2018-10-21,2018,E,Evening Service,Jack Werth,Titus,Titus 2:15,2,15,https://archive.org/download/2018.10.21.ETitus2.15JackWerth/2018.10.21.E%20Titus%202.15%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.10.21.ETitus2.15JackWerth/2018.10.21.E%20Titus%202.15%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.10.21.ETitus2.15JackWerth,52480112
2018.10.21.MLuke1.3945JackWerth,2018.10.21.M Luke 1.39-45 - Jack Werth,2018-10-21,2018,M,Morning Service,Jack Werth,Luke,Luke 1:39-45,1,39-45,https://archive.org/download/2018.10.21.MLuke1.3945JackWerth/2018.10.21.M%20Luke%201.39-45%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.10.21.MLuke1.3945JackWerth/2018.10.21.M%20Luke%201.39-45%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.10.21.MLuke1.3945JackWerth,55842626
2018.10.21.XJonah3.910JackWerth,2018.10.21.X Jonah 3.9-10 - Jack Werth,2018-10-21,2018,X,Bible Study,Jack Werth,Jonah,Jonah 3:9-10,3,9-10,https://archive.org/download/2018.10.21.XJonah3.910JackWerth/2018.10.21.X%20Jonah%203.9-10%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.10.21.XJonah3.910JackWerth/2018.10.21.X%20Jonah%203.9-10%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.10.21.XJonah3.910JackWerth,79228371
2018.10.28.ETitus3.1JackWerth,2018.10.28.E Titus 3.1 - Jack Werth,2018-10-28,2018,E,Evening Service,Jack Werth,Titus,Titus 3:1,3,1,https://archive.org/download/2018.10.28.ETitus3.1JackWerth/2018.10.28.E%20Titus%203.1%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.10.28.ETitus3.1JackWerth/2018.10.28.E%20Titus%203.1%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.10.28.ETitus3.1JackWerth,74312467
2018.10.28.MLuke1.4649JackWerth,2018.10.28.M Luke 1.46-49 - Jack Werth,2018-10-28,2018,M,Morning Service,Jack Werth,Luke,Luke 1:46-49,1,46-49,https://archive.org/download/2018.10.28.MLuke1.4649JackWerth/2018.10.28.M%20Luke%201.46-49%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.10.28.MLuke1.4649JackWerth/2018.10.28.M%20Luke%201.46-49%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.10.28.MLuke1.4649JackWerth,58046226
2018.10.28.XMatthew12.3845JackWerth,2018.10.28.X Matthew 12.38-45 - Jack Werth,2018-10-28,2018,X,Bible Study,Jack Werth,Matthew,Matthew 12:38-45,12,38-45,https://archive.org/download/2018.10.28.XMatthew12.3845JackWerth/2018.10.28.X%20Matthew%2012.38-45%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.10.28.XMatthew12.3845JackWerth/2018.10.28.X%20Matthew%2012.38-45%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.10.28.XMatthew12.3845JackWerth,57764659
2018.11.04.ETitus3.1b2JackWerth,2018.11.04.E Titus 3.1b-2 - Jack Werth,2018-11-04,2018,E,Evening Service,Jack Werth,Titus,Titus 3:1b-2,3,1b-2,https://archive.org/download/2018.11.04.ETitus3.1b2JackWerth/2018.11.04.E%20Titus%203.1b-2%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.11.04.ETitus3.1b2JackWerth/2018.11.04.E%20Titus%203.1b-2%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.11.04.ETitus3.1b2JackWerth,56615353
2018.11.04.MLuke1.5056JackWerth,2018.11.04.M Luke 1.50-56 - Jack Werth,2018-11-04,2018,M,Morning Service,Jack Werth,Luke,Luke 1:50-56,1,50-56,https://archive.org/download/2018.11.04.MLuke1.5056JackWerth/2018.11.04.M%20Luke%201.50-56%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.11.04.MLuke1.5056JackWerth/2018.11.04.M%20Luke%201.50-56%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.11.04.MLuke1.5056JackWerth,58620451
2018.11.04.XJonah3.104.5JackWerth,2018.11.04.X Jonah 3.10-4.5 - Jack Werth,2018-11-04,2018,X,Bible Study,Jack Werth,Jonah,Jonah 3:10-4:5,3,10-4.5,https://archive.org/download/2018.11.04.XJonah3.104.5JackWerth/2018.11.04.X%20Jonah%203.10-4.5%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.11.04.XJonah3.104.5JackWerth/2018.11.04.X%20Jonah%203.10-4.5%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.11.04.XJonah3.104.5JackWerth,55420895
2018.11.11.ETitus3.3aJackWerth,2018.11.11.E Titus 3.3a - Jack Werth,2018-11-11,2018,E,Evening Service,Jack Werth,Titus,Titus 3:3a,3,3a,https://archive.org/download/2018.11.11.ETitus3.3aJackWerth/2018.11.11.E%20Titus%203.3a%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.11.11.ETitus3.3aJackWerth/2018.11.11.E%20Titus%203.3a%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.11.11.ETitus3.3aJackWerth,51124479
2018.11.11.MLuke1.5766JackWerth,2018.11.11.M Luke 1.57-66 - Jack Werth,2018-11-11,2018,M,Morning Service,Jack Werth,Luke,Luke 1:57-66,1,57-66,https://archive.org/download/2018.11.11.MLuke1.5766JackWerth/2018.11.11.M%20Luke%201.57-66%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.11.11.MLuke1.5766JackWerth/2018.11.11.M%20Luke%201.57-66%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.11.11.MLuke1.5766JackWerth,61751424
2018.11.11.XJonah4.58JackWerth,2018.11.11.X Jonah 4.5-8 - Jack Werth,2018-11-11,2018,X,Bible Study,Jack Werth,Jonah,Jonah 4:5-8,4,5-8,https://archive.org/download/2018.11.11.XJonah4.58JackWerth/2018.11.11.X%20Jonah%204.5-8%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.11.11.XJonah4.58JackWerth/2018.11.11.X%20Jonah%204.5-8%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.11.11.XJonah4.58JackWerth,59339726
2018.11.18.ETitus3.3bJackWerth,2018.11.18.E Titus 3.3b - Jack Werth,2018-11-18,2018,E,Evening Service,Jack Werth,Titus,Titus 3:3b,3,3b,https://archive.org/download/2018.11.18.ETitus3.3bJackWerth/2018.11.18.E%20Titus%203.3b%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.11.18.ETitus3.3bJackWerth/2018.11.18.E%20Titus%203.3b%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.11.18.ETitus3.3bJackWerth,59879482
2018.11.18.MLuke1.6775JackWerth,2018.11.18.M Luke 1.67-75 - Jack Werth,2018-11-18,2018,M,Morning Service,Jack Werth,Luke,Luke 1:67-75,1,67-75,https://archive.org/download/2018.11.18.MLuke1.6775JackWerth/2018.11.18.M%20Luke%201.67-75%20-%20Jack%20Werth.mp3,https://archive.org/download/2018.11.18.MLuke1.6775JackWerth/2018.11.18.M%20Luke%201.67-75%20-%20Jack%20Werth.ogg,https://archive.org/details/2018.11.18.MLuke1.6775JackWerth,57269525
